FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
3001,1040,2,6,1293131,H1656,2549784,6679677,2549801,6679676,Thalianaukio,Thaliaplatsen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3002,1040,2,7,1293124,H1654,2549972,6679502,2549983,6679520,Eliel Saarisen tie,Eliel Saarinens väg,Ilkantie,Ilkkavägen,1,1,1,01,01
3003,1040,2,8,1293127,H1650,2550194,6679205,2550211,6679201,Haagan ammattikoulu,Haga yrkesskola,Ilkantie 4,Ilkkavägen 4,1,1,1,01,01
3004,1040,2,9,1291124,H1648,2550016,6678903,2550035,6678891,Tunnelitie,Tunnelvägen,Tunnelitie,Tunnelvägen,1,1,1,01,01
3005,1040,2,10,1291107,H1646,2549968,6678515,2549984,6678521,Palokaivon aukio,Brandbrunnsplatsen,Kauppalantie,Köpingsvägen,1,1,1,01,01
3006,1040,2,11,1291105,H1644,2549958,6678206,2549978,6678201,Haagan tori,Haga torg,Kauppalantie,Köpingsvägen,1,1,1,01,01
3007,1040,2,12,1291103,H1642,2549831,6677931,2549848,6677919,Haagan paloasema,Haga brandstation,Kauppalantie,Köpingsvägen,1,1,1,01,01
3008,1040,2,13,1160109,H1932,2550015,6677614,2550036,6677614,Ruskeasuon varikko,Brunakärrs depå,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3009,1040,2,14,1160107,H1928,2550028,6677108,2550047,6677109,Ruskeasuo,Brunakärr,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3010,1040,2,15,1160104,H1926,2550149,6676579,2550171,6676582,Tilkka,Tilkka,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3011,1058B,2,7,1171152,H2107,2551711,6676482,2551695,6676479,Palkkatilanportti,Löneboställsporten,Pasilankatu,Bölegatan,1,1,1,01,01
3012,1040,2,16,1180105,H1920,2550235,6676256,2550246,6676268,Kuusitie,Granvägen,Mannerheimintie 146,Mannerheimvägen 146,1,1,1,01,01
3013,1058B,2,8,1174128,H2100,2551997,6676636,2551993,6676649,Pasilan asema,Böle station,Pasilansilta,Bölebro,1,1,1,01,01
3014,1040,2,17,1180115,H1918,2550709,6675920,2550723,6675941,Töölön tulli,Tölö tull,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3015,1058B,2,9,1122128,H2130,2552151,6676352,2552152,6676368,Savonkatu,Savolaxgatan,Aleksis Kiven katu,Aleksis Kivis gata,1,1,1,01,01
3016,1040,2,18,1140118,H1916,2551042,6675640,2551058,6675652,Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 102,Mannerheimvägen 102,1,1,1,01,01
3017,1058B,2,10,1122126,H2132,2552354,6676210,2552364,6676222,Sipoonkatu,Sibbogatan,Aleksis Kiven katu,Aleksis Kivis gata,1,1,1,01,01
3018,1058B,2,11,1122112,H2134,2552568,6676027,2552582,6676045,Kotkankatu,Kotkagatan,Aleksis Kiven katu,Aleksis Kivis gata,1,1,1,01,01
3019,1040,2,19,1140115,H1914,2551476,6675008,2551485,6675016,Töölön kisahalli,Tölö sporthall,Mannerheimintie 72,Mannerheimvägen 72,1,1,1,01,01
3020,1058B,2,12,1122110,H0654,2552804,6675838,2552816,6675852,Sturenkatu,Sturegatan,Aleksis Kiven katu,Aleksis Kivis gata,1,1,1,01,01
3021,1040,2,20,1130107,H1908,2551777,6674307,2551790,6674315,Hesperian puisto,Hesperiaparken,Mannerheimintie 40,Mannerheimvägen 40,1,1,1,01,01
3022,1058B,2,13,1220123,H2156,2553068,6675693,2553070,6675706,Fleminginkatu,Flemingsgatan,Aleksis Kiven k. 28,Aleksis Kivis g. 28,1,1,1,01,01
3023,1040,2,21,1020128,H2020,2552333,6673654,2552333,6673663,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1, , ,01
3024,1058B,2,14,1220120,H2180,2553564,6675711,2553568,6675727,Junatie,Tågvägen,Junatie,Tågvägen,1,1,1,01,01
3025,1041,1,1,1040141,H1238,2551817,6673362,2551817,6673361,"Kamppi(M), lait. 71","Kampen(M), pf. 71",Salomonkatu,Salomonsgatan,1,1,1,01,01
3026,1041,1,2,1130110,H1305,2551459,6673746,2551446,6673742,Kauppakorkeakoulut,Handelshögskolorna,Runeberginkatu 23,Runebergsgatan 23,1,1,1,01,01
3027,1058B,2,15,1100160,H2550,2553970,6675610,2553972,6675619,Tynnyrintekijänkatu,Tunnbindaregatan,Junatie,Tågvägen,1,1,1,01,01
3028,1041,1,3,1130103,H1307,2551363,6674159,2551357,6674159,Apollonkatu,Apollogatan,Runeberginkatu 43,Runebergsgatan 43,1,1,1,01,01
3029,1058B,2,16,1100112,H2558,2554335,6675361,2554342,6675372,Kalasatama(M),Fiskehamnen(M),Itäväylä,Österleden,1,1,1,01,01
3030,1041,1,4,1140102,H1311,2551357,6674620,2551351,6674615,Töölöntori,Tölötorg,Topeliuksenkatu,Topeliusgatan,1,1,1,01,01
3031,1058B,2,17,1420115,H4001,2555608,6675391,2555598,6675410,Kulosaari,Brändö,Itäväylä,Österleden,1,1, ,01,01
3032,1058B,2,18,1420117,H4003,2556300,6675652,2556296,6675668,Tupasaari,Stugö,Itäväylä,Österleden,1,1, ,01,01
3033,1041,1,5,1140104,H1317,2551064,6675161,2551058,6675158,Linnankoskenkatu,Linnankoskigatan,Topeliuksenkatu 25,Topeliusgatan 25,1,1,1,01,01
3034,1041,1,6,1150101,H1327,2550727,6675804,2550711,6675798,Töölön tulli,Tölö tull,Topeliuksenkatu 43,Topeliusgatan 43,1,1,1,01,01
3035,1058B,2,19,1434101,H4005,2556983,6676052,2556976,6676062,Kipparlahti,Skepparviken,Itäväylä,Österleden,1,1, ,01,01
3036,1041,1,7,1180203,H1925,2550246,6676307,2550234,6676298,Kuusitie,Granvägen,Mannerheimintie 93,Mannerheimvägen 93,1,1,1,01,01
3037,1058B,2,20,1431105,H4007,2557434,6676341,2557430,6676343,Herttoniemi,Hertonäs,Itäväylä,Österleden,1,1,0,01,01
3038,1041,1,8,1160202,H1929,2550180,6676627,2550168,6676627,Tilkka,Tilkka,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3039,1058B,2,21,1431181,H4009,2557724,6676847,2557716,6676851,Konemestarinkatu,Maskinmästaregatan,Itäväylä,Österleden,1,1, ,01,01
3040,1041,1,9,1160206,H1933,2550048,6677414,2550033,6677414,Ruskeasuo,Brunakärr,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3041,1058B,2,22,1433128,H4176,2558269,6677526,2558281,6677543,Mekaanikonkatu,Mekanikergatan,Muuntajankatu,Transformatorgatan,1,1,1,01,01
3042,1041,1,10,1291167,H1935,2549952,6677755,2549949,6677735,Ruskeasuon varikko,Brunakärrs depå,Vihdintie,Vichtisvägen,1,1,1,01,01
3043,1058B,2,23,1433118,H4227,2558468,6677517,2558455,6677525,Sahaajankatu 33,Sågaregatan 33,Sahaajankatu 33,Sågaregatan 33,1,1,1,01,01
3044,1041,1,11,1291102,H1641,2549851,6677904,2549842,6677911,Haagan paloasema,Haga brandstation,Kauppalantie,Köpingsvägen,1,1,1,01,01
3045,1058B,2,24,1433120,H4229,2558593,6677692,2558580,6677701,Pikkupurontie,Lillbäcksvägen,Sahaajankatu,Sågaregatan,1,1,1,01,01
3046,1041,1,12,1291104,H1643,2549987,6678203,2549979,6678206,Haagan tori,Haga torg,Kauppalantie,Köpingsvägen,1,1,1,01,01
3047,1058B,2,25,1456107,H4231,2558873,6678024,2558878,6678039,Roihupelto,Kasåkern,Varikkotie,Depåvägen,1,1,1,01,01
3048,1041,1,13,1291108,H1665,2549918,6678620,2549909,6678611,Palokaivon aukio,Brandbrunnsplatsen,Kauppalantie,Köpingsvägen,1,1,1,01,01
3049,1058B,2,26,1453105,H4233,2559351,6677938,2559349,6677955,Ratasmyllyntie,Hjulkvarnsvägen,Varikkotie,Depåvägen,1,1,1,01,01
3050,1058B,2,27,1453114,H4314,2559940,6678129,2559938,6678132,"Itäkeskus(M), tulo",Östra centrum(M),Tallinnanaukio,Revalsplanen,1,1, , ,01
3051,1041,1,14,1291110,H1667,2549754,6678658,2549756,6678643,Haagan urheilukenttä,Haga sportplan,Haagan urheilutie,Haga sportväg,1,1,1,01,01
3052,1058X,2,1,1171118,H2071,2551295,6675735,2551285,6675744,Jäähalli,Ishallen,Nordenskiöldinkatu,Nordenskiöldsgatan,0,1,1,01,01
3053,1041,1,15,1291112,H1669,2549544,6678802,2549535,6678788,Angervotie,Spireavägen,Isonnevantie,Stormyrvägen,1,1,1,01,01
3054,1058X,2,2,1171122,H2073,2551524,6675899,2551515,6675915,Auroran sairaala,Aurorasjukhuset,Nordenskiöldinkatu,Nordenskiöldsgatan,0,1,1,01,01
3055,1041,1,16,1291115,H1671,2549398,6678760,2549417,6678761,Riistavuori,Djurberget,Isonnevankuja,Stormyrgränden,1,1,1,01,01
3056,1058X,2,3,1171134,H2109,2551769,6676079,2551753,6676087,Eläintarha,Djurgården,Veturitie,Lokvägen,0,1,1,01,01
3057,1041,1,17,1291127,H1630,2549670,6678917,2549663,6678923,Huopalahden asema,Hoplax station,Eliel Saarisen tie,Eliel Saarinens väg,1,1,1,01,01
3058,1058X,2,4,1171152,H2107,2551711,6676482,2551695,6676479,Palkkatilanportti,Löneboställsporten,Pasilankatu,Bölegatan,0,1,1,01,01
3059,1058X,2,5,1174128,H2100,2551997,6676636,2551993,6676649,Pasilan asema,Böle station,Pasilansilta,Bölebro,0,1,1,01,01
3060,1041,1,18,1293139,H1632,2549924,6679519,2549906,6679525,Ilkantie,Ilkkavägen,Eliel Saarisen tie,Eliel Saarinens väg,1,1,1,01,01
3061,1058X,2,6,1122128,H2130,2552151,6676352,2552152,6676368,Savonkatu,Savolaxgatan,Aleksis Kiven katu,Aleksis Kivis gata,0,1,1,01,01
3062,1041,1,19,1293130,H1657,2549817,6679690,2549803,6679692,Thalianaukio,Thaliaplatsen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3063,1041,1,20,1293132,H1659,2549791,6680138,2549778,6680140,Ohjaajantie,Regissörsvägen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3064,1058X,2,7,1122126,H2132,2552354,6676210,2552364,6676222,Sipoonkatu,Sibbogatan,Aleksis Kiven katu,Aleksis Kivis gata,0,1,1,01,01
3065,1041,1,21,1293134,H1661,2549609,6680335,2549599,6680320,Näyttelijäntie 22,Skådespelarvägen 22,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3066,1058X,2,8,1122112,H2134,2552568,6676027,2552582,6676045,Kotkankatu,Kotkagatan,Aleksis Kiven katu,Aleksis Kivis gata,0,1,1,01,01
3067,1041,1,22,1293173,H1663,2549470,6680460,2549464,6680457,Näyttelijäntie,Skådespelarvägen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3068,1058X,2,9,1122110,H0654,2552804,6675838,2552816,6675852,Sturenkatu,Sturegatan,Aleksis Kiven katu,Aleksis Kivis gata,0,1,1,01,01
3069,1041,1,23,1331102,H1685,2549381,6681031,2549371,6681028,Pelimannintie,Spelmansvägen,Kantelettarentie,Kanteletarvägen,1,1,1,01,01
3070,1058X,2,10,1220123,H2156,2553068,6675693,2553070,6675706,Fleminginkatu,Flemingsgatan,Aleksis Kiven k. 28,Aleksis Kivis g. 28,0,1,1,01,01
3071,1041,1,24,1331104,H1687,2549079,6681081,2549084,6681070,Kaustisentie,Kaustbyvägen,Pelimannintie,Spelmansvägen,1,1,1,01,01
3072,1058X,2,11,1220120,H2180,2553564,6675711,2553568,6675727,Junatie,Tågvägen,Junatie,Tågvägen,0,1,1,01,01
3073,1041,1,25,1331106,H1707,2548727,6680876,2548737,6680861,Klaneettitie,Klarinettvägen,Pelimannintie,Spelmansvägen,1,1,1,01,01
3074,1058X,2,12,1100160,H2550,2553970,6675610,2553972,6675619,Tynnyrintekijänkatu,Tunnbindaregatan,Junatie,Tågvägen,0,1,1,01,01
3075,1041,1,26,1331108,H1709,2548375,6680754,2548391,6680754,Pelimannintie 23,Spelmansvägen 23,Pelimannintie 23,Spelmansvägen 23,1,1, , ,01
3076,1058X,2,13,1100112,H2558,2554335,6675361,2554342,6675372,Kalasatama(M),Fiskehamnen(M),Itäväylä,Österleden,0,1,1,01,01
3077,1041,2,1,1331108,H1709,2548375,6680754,2548391,6680754,Pelimannintie 23,Spelmansvägen 23,Pelimannintie 23,Spelmansvägen 23,1,1,1,01,01
3078,1058X,2,14,1420115,H4001,2555608,6675391,2555598,6675410,Kulosaari,Brändö,Itäväylä,Österleden,0,1,1,01,01
3079,1041,2,2,1331107,H1708,2548752,6680853,2548744,6680865,Klaneettitie,Klarinettvägen,Pelimannintie,Spelmansvägen,1,1,1,01,01
3080,1058X,2,15,1420117,H4003,2556300,6675652,2556296,6675668,Tupasaari,Stugö,Itäväylä,Österleden,0,1,1,01,01
3081,1041,2,3,1331167,H1688,2548907,6680949,2548900,6680960,Viulutie,Fiolvägen,Pelimannintie,Spelmansvägen,1,1,1,01,01
3082,1058X,2,16,1434101,H4005,2556983,6676052,2556976,6676062,Kipparlahti,Skepparviken,Itäväylä,Österleden,0,1,1,01,01
3083,1041,2,4,1331105,H1686,2549113,6681068,2549108,6681082,Kaustisentie,Kaustbyvägen,Pelimannintie,Spelmansvägen,1,1,1,01,01
3084,1058X,2,17,1431105,H4007,2557434,6676341,2557430,6676343,Herttoniemi,Hertonäs,Itäväylä,Österleden,0,1,1,01,01
3085,1041,2,5,1331103,H1684,2549353,6681022,2549371,6681026,Pelimannintie,Spelmansvägen,Kantelettarentie,Kanteletarvägen,1,1,1,01,01
3086,1058X,2,18,1431181,H4009,2557724,6676847,2557716,6676851,Konemestarinkatu,Maskinmästaregatan,Itäväylä,Österleden,0,1,1,01,01
3087,1041,2,6,1293136,H1662,2549449,6680446,2549466,6680455,Näyttelijäntie,Skådespelarvägen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3088,1052,2,4,1301146,H1403,2548759,6676942,2548752,6676935,Professorintie,Professorvägen,Professorintie 1,Professorvägen 1,1,1,1,01,01
3089,1058X,2,19,1433128,H4176,2558269,6677526,2558281,6677543,Mekaanikonkatu,Mekanikergatan,Muuntajankatu,Transformatorgatan,0,1,1,01,01
3090,1041,2,7,1293135,H1660,2549636,6680280,2549643,6680288,Näyttelijäntie 22,Skådespelarvägen 22,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3091,1058X,2,20,1433118,H4227,2558468,6677517,2558455,6677525,Sahaajankatu 33,Sågaregatan 33,Sahaajankatu 33,Sågaregatan 33,0,1,1,01,01
3092,1041,2,8,1293133,H1658,2549742,6680051,2549767,6680051,Ohjaajantie,Regissörsvägen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3093,1052,2,5,1304130,H1421,2548337,6677275,2548334,6677265,Porintie,Björneborgsvägen,Ulvilantie 15,Ulfsbyvägen 15,1,1,1,01,01
3094,1058X,2,21,1433120,H4229,2558593,6677692,2558580,6677701,Pikkupurontie,Lillbäcksvägen,Sahaajankatu,Sågaregatan,0,1,1,01,01
3095,1041,2,9,1293131,H1656,2549784,6679677,2549801,6679676,Thalianaukio,Thaliaplatsen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3096,1058X,2,22,1456107,H4231,2558873,6678024,2558878,6678039,Roihupelto,Kasåkern,Varikkotie,Depåvägen,0,1,1,01,01
3097,1052,2,6,1304131,H1423,2548086,6677444,2548072,6677441,Ulvilantie 17,Ulfsbyvägen 17,Ulvilantie 17,Ulfsbyvägen 17,1,1,1,01,01
3098,1041,2,10,1293140,H1633,2549890,6679499,2549896,6679497,Ilkantie,Ilkkavägen,Eliel Saarisen tie,Eliel Saarinens väg,1,1,1,01,01
3099,1058X,2,23,1453105,H4233,2559351,6677938,2559349,6677955,Ratasmyllyntie,Hjulkvarnsvägen,Varikkotie,Depåvägen,0,1,1,01,01
3100,1041,2,11,1291128,H1631,2549624,6678898,2549638,6678888,Huopalahden asema,Hoplax station,Eliel Saarisen tie,Eliel Saarinens väg,1,1,1,01,01
3101,1052,2,7,1304132,H1425,2548100,6677638,2548093,6677638,Ulvilantie 19,Ulfsbyvägen 19,Ulvilantie 19,Ulfsbyvägen 19,1,1,1,01,01
3102,1058X,2,24,1453114,H4314,2559940,6678129,2559938,6678132,"Itäkeskus(M), tulo",Östra centrum(M),Tallinnanaukio,Revalsplanen,0,1, , ,01
3103,1041,2,12,1291116,H1670,2549433,6678775,2549416,6678774,Riistavuori,Djurberget,Isonnevankuja,Stormyrgränden,1,1,1,01,01
3104,1059,1,1,1431104,H4300,2557300,6676312,2557311,6676320,Herttoniemi(M),Hertonäs(M),Herttoniemi(M),Hertonäs(M),1,1,1,01,01
3105,1041,2,13,1291113,H1668,2549555,6678751,2549566,6678767,Angervotie,Spireavägen,Isonnevantie,Stormyrvägen,1,1,1,01,01
3106,1039N,1,14,1150111,H1385,2549806,6676108,2549794,6676092,Meilahdentie,Mejlansvägen,Paciuksenkatu 17,Paciusgatan 17,1,1,1,01,01
3107,1052,2,8,1304133,H1427,2548244,6677816,2548238,6677828,Ulvilantie 21,Ulfsbyvägen 21,Ulvilantie 21,Ulfsbyvägen 21,1,1,1,01,01
3108,1039N,1,15,1150113,H1387,2549585,6676296,2549576,6676283,Paciuksenkaari,Paciussvängen,Paciuksenkatu,Paciusgatan,1,1,1,01,01
3109,1059,1,2,1431102,H4004,2556834,6676011,2556841,6676004,Kipparlahti,Skepparviken,Itäväylä,Österleden,1,1,1,01,01
3110,1041,2,14,1291111,H1666,2549706,6678624,2549706,6678641,Haagan urheilukenttä,Haga sportplan,Haagan urheilutie,Haga sportväg,1,1,1,01,01
3111,1052,2,9,1304134,H1429,2548672,6677815,2548681,6677830,Ulvilantie 27,Ulfsbyvägen 27,Ulvilantie 27,Ulfsbyvägen 27,1,1,1,01,01
3112,1059,1,3,1420118,H4002,2556251,6675708,2556256,6675686,Tupasaari,Stugö,Itäväylä,Österleden,1,1,1,01,01
3113,1041,2,15,1291107,H1646,2549968,6678515,2549984,6678521,Palokaivon aukio,Brandbrunnsplatsen,Kauppalantie,Köpingsvägen,1,1,1,01,01
3114,1039N,1,16,1301123,H1391,2549257,6676530,2549239,6676526,Munkkiniemen aukio,Munksnäsplatsen,Huopalahdentie,Hoplaksvägen,1,1,1,01,01
3115,1052,2,10,1304135,H1431,2548847,6677636,2548861,6677647,Naantalintie,Nådendalsvägen,Ulvilantie 29,Ulfsbyvägen 29,1,1,1,01,01
3116,1039N,1,17,1301125,H1393,2549169,6676825,2549156,6676821,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,1,1, ,01,01
3117,1059,1,4,1420116,H4000,2555744,6675540,2555756,6675521,Kulosaari,Brändö,Itäväylä,Österleden,1,1,1,01,01
3118,1041,2,16,1291105,H1644,2549958,6678206,2549978,6678201,Haagan tori,Haga torg,Kauppalantie,Köpingsvägen,1,1,1,01,01
3119,1052,2,11,1305151,H1398,2549020,6677550,2549016,6677567,Munkkivuori,Munkshöjden,Lapinmäentie,Labbackavägen,1,1,1,01,01
3120,1059,1,5,1100108,H2559,2554325,6675402,2554324,6675397,Kalasatama(M),Fiskehamnen(M),Itäväylä,Österleden,1,1, ,01,01
3121,1039N,1,18,1304127,H1395,2549080,6677142,2549069,6677140,Niemenmäki,Näshöjden,Huopalahdentie,Hoplaksvägen,1,1,1,01,01
3122,1052,2,12,1291122,H1438,2549294,6677748,2549290,6677761,Ansaritie,Orangerivägen,Lapinmäentie,Labbackavägen,1,1,1,01,01
3123,1041,2,17,1291103,H1642,2549831,6677931,2549848,6677919,Haagan paloasema,Haga brandstation,Kauppalantie,Köpingsvägen,1,1,1,01,01
3124,1039N,1,19,1304136,H1397,2549005,6677458,2548992,6677455,Munkkivuori,Munkshöjden,Huopalahdentie,Hoplaksvägen,1,1,1,01,01
3125,1059,1,6,1100159,H2551,2553952,6675635,2553949,6675625,Tynnyrintekijänkatu,Tunnbindaregatan,Junatie,Tågvägen,1,1,1,01,01
3126,1041,2,18,1160109,H1932,2550015,6677614,2550036,6677614,Ruskeasuon varikko,Brunakärrs depå,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3127,1052,2,13,1291220,H1513,2549451,6677978,2549437,6677970,Talontie,Hemmansvägen,Vihdintie,Vichtisvägen,1,1,1,01,01
3128,1039N,1,20,1291138,H1437,2549026,6677997,2549005,6678007,Vanha viertotie,Gamla chaussén,Huopalahdentie,Hoplaksvägen,1,1,1,01,01
3129,1059,1,7,1220119,H2179,2553609,6675731,2553604,6675718,Junatie,Tågvägen,Junatie,Tågvägen,1,1,1,01,01
3130,1041,2,19,1160107,H1928,2550028,6677108,2550047,6677109,Ruskeasuo,Brunakärr,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3131,1052,2,14,1291118,H1626,2549376,6678452,2549350,6678473,Vihdintie,Vichtisvägen,Eliel Saarisen tie,Eliel Saarinens väg,1,1,1,01,01
3132,1039N,1,21,1465177,H1441,2548949,6678276,2548939,6678269,Vanha viertotie,Gamla chaussén,Vanha viertotie,Gamla chaussén,1,1,1,01,01
3133,1052,2,15,1291116,H1670,2549433,6678775,2549416,6678774,Riistavuori,Djurberget,Isonnevankuja,Stormyrgränden,1,1,1,01,01
3134,1059,1,8,1220112,H2177,2553220,6675870,2553213,6675856,Päijänteentie,Päijännevägen,Teollisuuskatu 3,Industrigatan 3,1,1,1,01,01
3135,1041,2,20,1160104,H1926,2550149,6676579,2550171,6676582,Tilkka,Tilkka,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3136,1039N,1,22,1465101,H1517,2548661,6678579,2548648,6678562,Valimotie,Gjuterivägen,Pitäjänmäentie,Sockenbackavägen,1,1,1,01,01
3137,1059,1,9,1220134,H2175,2552885,6676122,2552870,6676106,Telekatu,Telegatan,Teollisuuskatu,Industrigatan,1,1,1,01,01
3138,1041,2,21,1180206,H1924,2550156,6676337,2550169,6676335,Kuusitie,Granvägen,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3139,1052,2,16,1291113,H1668,2549555,6678751,2549566,6678767,Angervotie,Spireavägen,Isonnevantie,Stormyrvägen,1,1,1,01,01
3140,1039N,1,23,1465103,H1519,2548340,6678792,2548332,6678782,Takomotie,Smedjevägen,Pitäjänmäentie,Sockenbackavägen,1,1,1,01,01
3141,1059,1,10,1220114,H2173,2552683,6676293,2552667,6676275,Pasilan konepaja,Fredriksb. verkstad,Teollisuuskatu 25,Industrigatan 25,1,1,1,01,01
3142,1041,2,22,1150102,H1326,2550701,6675768,2550719,6675774,Töölön tulli,Tölö tull,Topeliuksenkatu,Topeliusgatan,1,1,1,01,01
3143,1059,1,11,1173113,H0661,2552415,6676511,2552415,6676500,Jämsänkatu,Jämsägatan,Kumpulantie,Gumtäktsvägen,1,1,1,01,01
3144,1052,2,17,1291111,H1666,2549706,6678624,2549706,6678641,Haagan urheilukenttä,Haga sportplan,Haagan urheilutie,Haga sportväg,1,1,1,01,01
3145,1039N,1,24,1465105,H1521,2548015,6679026,2548007,6679015,Talin siirt.puutarha,Tali koloniträdgård,Pitäjänmäentie,Sockenbackavägen,1,1,1,01,01
3146,1041,2,23,1140106,H1318,2550978,6675255,2550994,6675265,Kirjailijan puisto,Författarparken,Topeliuksenkatu,Topeliusgatan,1,1,1,01,01
3147,1052,2,18,1291106,H1645,2549980,6678593,2549970,6678599,Palokaivon aukio,Brandbrunnsplatsen,Tunnelitie,Tunnelvägen,1,1,1,01,01
3148,1059,1,12,1173101,H0663,2552343,6676671,2552333,6676667,Asemapäällikönkatu,Stinsgatan,Ratamestarinkatu,Banmästargatan,1,1,1,01,01
3149,1039N,1,25,1465112,H1523,2547998,6679308,2547986,6679311,Takkatie,Spiselvägen,Pitäjänmäentie,Sockenbackavägen,1,1,1,01,01
3150,1052,2,19,1291123,H1647,2550055,6678799,2550042,6678797,Tunnelitie,Tunnelvägen,Tunnelitie,Tunnelvägen,1,1,1,01,01
3151,1041,2,24,1140122,H1310,2551367,6674557,2551380,6674564,Töölöntori,Tölötorg,Topeliuksenkatu,Topeliusgatan,1,1,1,01,01
3152,1059,1,13,1173103,H2165,2552153,6676703,2552157,6676690,Junailijankuja,Konduktörsgränden,Asemapäällikönk. 9,Stinsgatan 9,1,1,1,01,01
3153,1039N,1,26,1463113,H1525,2547699,6679539,2547695,6679526,Pitäjänmäen asema,Sockenbacka station,Pitäjänmäentie,Sockenbackavägen,1,1,1,01,01
3154,1052,2,20,1291125,H1649,2550158,6679026,2550146,6679032,Mäkipellon aukio,Backåkersplatsen,Ilkantie,Ilkkavägen,1,1,1,01,01
3155,1041,2,25,1130104,H1308,2551334,6674144,2551355,6674141,Apollonkatu,Apollogatan,Runeberginkatu 30,Runebergsgatan 30,1,1,1,01,01
3156,1059,1,14,1174147,H2101,2551962,6676653,2551964,6676642,Pasilan asema,Böle station,Pasilansilta,Bölebro,1,1,1,01,01
3157,1041,2,26,1130109,H1306,2551519,6673593,2551537,6673606,Kauppakorkeakoulut,Handelshögskolorna,Runeberginkatu 10,Runebergsgatan 10,1,1,1,01,01
3158,1059,1,15,1171154,H2097,2551576,6677009,2551564,6677005,Kyllikinportti,Kyllikkiporten,Pasilankatu,Bölegatan,1,1,1,01,01
3159,1039N,1,27,1463115,H1527,2547458,6679827,2547452,6679818,Jännetie,Bågsträngsvägen,Konalantie 1,Kånalavägen 1,1,1,1,01,01
3160,1052,2,21,1293126,H1651,2550229,6679241,2550215,6679240,Haagan ammattikoulu,Haga yrkesskola,Ilkantie 3,Ilkkavägen 3,1,1,1,01,01
3161,1039N,1,28,1463180,H1529,2547235,6680011,2547222,6679998,Kokkokallio,Kokkoberget,Konalantie,Kånalavägen,1,1,1,01,01
3162,1041,2,27,1040106,H,2551796,6673369,2551796,6673369,"Kamppi(M), tulo",Kampen(M),Salomonkatu,Salomonsgatan,1,1, , ,01
3163,1059,1,16,1171130,H2095,2551465,6677166,2551467,6677157,Iso Paja,Stora Smedjan,Radiokatu 5,Radiogatan 5,1,1,1,01,01
3164,1052,2,22,1293123,H1655,2549980,6679541,2549970,6679529,Eliel Saarisen tie,Eliel Saarinens väg,Ilkantie,Ilkkavägen,1,1,1,01,01
3165,1039N,1,29,1320101,H1531,2547094,6680420,2547078,6680419,Vähäntuvantie,Lillstuvägen,Konalantie,Kånalavägen,1,1,1,01,01
3166,1042,1,1,1040141,H1238,2551817,6673362,2551817,6673361,"Kamppi(M), lait. 71","Kampen(M), pf. 71",Salomonkatu,Salomonsgatan,1,1,1,01,01
3167,1059,1,17,1171124,H2093,2551304,6677126,2551307,6677117,Radiokatu,Radiogatan,Radiokatu,Radiogatan,1,1,1,01,01
3168,1042,1,2,1130110,H1305,2551459,6673746,2551446,6673742,Kauppakorkeakoulut,Handelshögskolorna,Runeberginkatu 23,Runebergsgatan 23,1,1,1,01,01
3169,1052,2,23,1293163,H1636,2550226,6679815,2550218,6679831,Teuvo Pakkalan tie,Teuvo Pakkalas väg,Eliel Saarisen tie,Eliel Saarinens väg,1,1,1,01,01
3170,1039N,1,30,1320103,H1533,2547116,6680758,2547098,6680762,Tähkätie,Axvägen,Konalantie,Kånalavägen,1,1,1,01,01
3171,1059,1,18,1171126,H2091,2551142,6677293,2551117,6677277,Tv-keskus,Tv-centrum,Radiokatu,Radiogatan,1,1, ,01,01
3172,1042,1,3,1130103,H1307,2551363,6674159,2551357,6674159,Apollonkatu,Apollogatan,Runeberginkatu 43,Runebergsgatan 43,1,1,1,01,01
