FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
23099,4575,1,11,4680206,V6806,2555267,6687242,2555266,6687224,Niittytie,Ängsvägen,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23100,4576,1,29,4410246,V4146,2550307,6688439,2550298,6688421,Vasamapuisto,Skäktparken,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23101,4588,1,25,4940203,V9403,2561988,6685980,2561988,6686003,Hakunilan uimahalli,Håkansböle simhall,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23102,4575,1,12,4680242,V6842,2554898,6687295,2554892,6687276,Ohtolankatu,Björnsgatan,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23103,4588B,2,2,4940224,V9424,2562082,6686085,2562103,6686071,Sotungintie,Sottungsbyvägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23104,4588,1,26,4940225,V9425,2562155,6686193,2562137,6686191,Sotungintie,Sottungsbyvägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23105,4576,1,30,4410248,V4148,2549770,6688799,2549763,6688787,Mossaberget,Mossaberget,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23106,4575,1,13,4680248,V6848,2554698,6687413,2554686,6687394,Köyhämäki,Fattigbacka,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23107,4588B,2,3,4940299,V9499,2561879,6686088,2561866,6686075,Orminkuja,Ormgränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23108,4576,1,31,4410263,V4163,2549339,6688909,2549325,6688921,Pohjois-Viinikkala,Norra Vinikby,Katriinantie,Katrinevägen,1,1, ,04,01
23109,4588,1,27,4940227,V9427,2562287,6686515,2562271,6686531,Nissaksentie,Nissasvägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23110,4575,1,14,4520260,V5260,2554398,6687600,2554390,6687585,"Kiitoradant., ramppi",Startbanevägens ramp,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23111,4588B,2,4,4940295,V9495,2561711,6686139,2561724,6686117,Suitsikuja,Betslegränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23112,4576,1,32,4530255,V5355,2550227,6689858,2550213,6689878,DHL etelä,DHL södra,Katriinantie,Katrinevägen,1,1, ,04,01
23113,4588,1,28,4960239,V9639,2562336,6686826,2562312,6686811,Riimukuja,Rungränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23114,4575,1,15,4520227,V5227,2554153,6687674,2554150,6687655,Manttaalitie,Mantalsvägen,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23115,4588,1,29,4960227,V9627,2562084,6687173,2562093,6687152,Kanneltie,Kantelevägen,Koulutie,Skolvägen,0,1,1,04,01
23116,4576,1,33,4530256,V5356,2550648,6690161,2550634,6690174,DHL pohjoinen,DHL norra,Katriinantie,Katrinevägen,1,1, ,04,01
23117,4588B,2,5,4940293,V9493,2561498,6685902,2561519,6685890,Kannuskuja,Sporrgränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23118,4576,1,34,4410204,V4104,2550847,6690484,2550829,6690491,Viinikankaari,Viniksvängen,Katriinantie,Katrinevägen,1,1, ,04,01
23119,4575,1,16,4520213,V5213,2553736,6687964,2553724,6687955,Pyhtäänkorvenkuja,Pyttisgränden,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23120,4588,1,30,4960225,V9625,2561784,6687223,2561774,6687205,Palttinatie,Lärftvägen,Koulutie,Skolvägen,0,1,1,04,01
23121,4588B,2,6,4940214,V9414,2561342,6685695,2561365,6685679,Raudikkokuja,Fuxgränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23122,4576,1,35,4410202,V4102,2551012,6690896,2550992,6690904,Viinikanmetsä,Vinikskogen,Katriinantie,Katrinevägen,1,1,1,04,01
23123,4575,1,17,4520239,V5239,2553398,6688197,2553392,6688183,Veromies,Skattmans,Tikkurilantie,Dickursbyvägen,1,1,0,04,01
23124,4588,1,31,4960223,V9623,2561730,6687347,2561707,6687337,Loimitie,Varpvägen,Koulutie,Skolvägen,0,1,1,04,01
23125,4588B,2,7,4940216,V9416,2561258,6685512,2561286,6685508,Raudikkopolku,Fuxstigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23126,4588,1,32,4960220,V9620,2561482,6687553,2561461,6687544,Itä-Hakkilan koulu,Itä-Hakkilan koulu,Koulutie,Skolvägen,0,1,1,04,01
23127,4576,1,36,4340210,V3410,2551143,6692082,2551126,6692073,Myllykyläntie,Kvarnbyvägen,Katriinantie,Katrinevägen,1,1,0,04,01
23128,4575,1,18,4520237,V5237,2552837,6688285,2552834,6688268,Toinen savu,Andra röken,Tikkurilantie,Dickursbyvägen,1,1,1,04,01
23129,4588B,2,8,4940218,V9418,2561255,6685285,2561280,6685285,Hevoshaanpolku,Hästhagsstigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23130,4588B,2,9,4940220,V9420,2561259,6685102,2561282,6685102,Hepopolku,Häststigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23131,4575,1,19,4410238,V4138,2552106,6688329,2552110,6688301,Kytökallio,Kyttlandsberget,Tikkurilantie,Dickursbyvägen,1,1,1,04,01
23132,4576,1,37,4340208,V3408,2551007,6692686,2550987,6692681,Kuutamotie,Månskensvägen,Katriinantie,Katrinevägen,1,1, ,04,01
23133,4588,1,33,4960202,V9602,2561154,6687689,2561160,6687669,Kehruukuja,Spinngränden,Itä-Hakkilan tie,Östra Haxbölevägen,0,1,1,04,01
